gene_name,t_stat,fold_change,p_value,p_adjusted
Os07g0587000,0.907673867,0.031792812,0.366556842,0.506098975
Os01g0219900,1.173051505,0.04719926,0.243975507,0.374457268
Os09g0448900,-2.601939427,-0.131403805,0.010893678,0.030729811
Os07g0614300,-1.984976122,-0.195029598,0.05029616,0.107961832
Os11g0194800,-2.743560746,-0.22897093,0.007379441,0.02221311
Os01g0923700,-3.795184949,-0.287572542,0.000272095,0.001366351
Os11g0168200,-0.121984679,-0.007315751,0.903192358,0.939600985
Os01g0658700,-1.587599827,-0.153528277,0.116003249,0.21043071
Os02g0148700,0.400082421,0.022653277,0.690076045,0.789191
Os06g0264700,-3.092757302,-0.241297569,0.002665137,0.009400401
Os03g0163200,-3.705447302,-0.3642426,0.000370155,0.001774866
Os06g0129400,-1.790836027,-0.067895349,0.076796155,0.151878708
Os05g0466900,3.918671849,0.364908034,0.000176854,0.00093896
Os03g0731900,-1.051936545,-0.046920015,0.29574046,0.433097068
Os08g0379000,-1.875793489,-0.167184461,0.06403579,0.13109449
Os01g0278000,3.135912562,0.694249471,0.00233689,0.008415715
Os02g0717100,2.138889232,0.23342019,0.035245559,0.081198484
Os11g0539200,6.132271808,1.305669397,2.47E-08,4.96E-07
Os12g0508200,-1.408778674,-0.16945111,0.162463124,0.274746831
Os10g0577400,2.837864973,0.535110994,0.005650259,0.017839546
Os03g0359000,0.637059281,0.034466173,0.525758369,0.656175812
Os08g0223700,-2.720407423,-0.148726744,0.007872074,0.023393521
Os01g0129500,-4.481532208,-0.38849815,2.24E-05,0.000159761
Os02g0515300,0.013459921,0.001338266,0.989291666,0.992897492
Os04g0578000,-0.46868797,-0.04571908,0.640464454,0.751327826
Os07g0686300,3.988047343,0.196250529,0.000138332,0.000764341
Os03g0816300,-6.609623247,-0.412853594,2.96E-09,8.42E-08
Os12g0609200,-11.19695771,-1.043882664,1.51E-18,2.52E-15
Os12g0416800,-5.002881523,-0.999995243,2.91E-06,2.79E-05
Os12g0204600,0.021398997,0.012319767,0.982976355,0.988821986
Os05g0129400,1.808056419,0.208163319,0.074051709,0.147427669
Os02g0806400,0.866586552,0.073371829,0.388551284,0.52856891
Os02g0720600,-0.628223511,-0.097916226,0.531502565,0.660907781
Os05g0372300,-2.610255757,-0.156796512,0.010651453,0.030206631
Os03g0756700,-5.632995599,-0.446270085,2.14E-07,3.04E-06
Os03g0178400,3.598310785,0.676239429,0.000531318,0.002416878
Os02g0323000,-2.339442166,-0.117538584,0.021602037,0.054185634
Os01g0494400,-0.895342019,-0.081112051,0.373073753,0.512700736
Os08g0280600,-0.326522833,-0.024414376,0.744812693,0.830658802
Os04g0600000,-3.323994795,-0.474536469,0.001299758,0.005139235
Os03g0608000,-0.135304002,-0.017997357,0.892683948,0.932259449
Os08g0387700,0.396171814,0.018545102,0.692947843,0.79145404
Os12g0626300,-1.29489204,-0.06268129,0.198781967,0.32172255
Os10g0518200,1.490437894,0.119010042,0.139724349,0.243943489
Os07g0685900,0.060852015,0.008893235,0.951616579,0.969912294
Os08g0162600,9.003595065,1.274075053,4.40E-14,1.27E-11
Os11g0701300,0.26564512,0.01654704,0.791140736,0.863019488
Os01g0889000,-0.605339184,-0.026234144,0.546528828,0.673677718
Os06g0133300,2.758265018,0.509933404,0.007081357,0.021439097
Os03g0698400,-3.464333329,-0.197214588,0.000827095,0.003509585
Os01g0650900,-0.826247755,-0.040181818,0.4109228,0.550601996
Os02g0621300,0.372558517,0.022160677,0.710382724,0.804601049
Os04g0629500,-3.665995729,-0.238714236,0.000423174,0.001989733
